1910,352089
1911,372371
1912,504283
1913,566950
1914,696886
1915,908543
1916,965971
1917,1000429
1918,1073241
1919,1047125
1920,1111874
1921,1145019
1922,1114028
1923,1119997
1924,1161238
1925,1130217
1926,1099788
1927,1106858
1928,1069872
1929,1035735
1930,1044440
1931,986844
1932,987891
1933,931551
1934,966643
1935,971717
1936,963165
1937,985346
1938,1023657
1939,1017138
1940,1062825
1941,1125424
1942,1262701
1943,1305423
1944,1239319
1945,1219589
1946,1475510
1947,1669192
1948,1596392
1949,1608637
1950,1610127
1951,1694666
1952,1745640
1953,1769233
1954,1827890
1955,1839033
1956,1888744
1957,1924204
1958,1889908
1959,1899916
1960,1894794
1961,1887645
1962,1835888
1963,1794939
1964,1760119
1965,1635216
1966,1561276
1967,1517486
1968,1501476
1969,1540546
1970,1591419
1971,1502628
1972,1362036
1973,1296444
1974,1299746
1975,1284988
1976,1288847
1977,1347825
1978,1344396
1979,1409915
1980,1461972
1981,1469706
1982,1494101
1983,1475425
1984,1487244
1985,1517484
1986,1509113
1987,1525768
1988,1558020
1989,1613574
1990,1657185
1991,1629792
1992,1596003
1993,1558806
1994,1534448
1995,1506897
1996,1497012
1997,1478655
1998,1496360
1999,1497106
2000,1527133
2001,1506192
2002,1498084
2003,1520794
2004,1523496
2005,1528165
2006,1564886
2007,1576648
2008,1544411
2009,1493172
2010,1439346
2011,1422539
2012,1422020
2013,1419351
2014,1446259
